sleep_date,HKCategoryValueSleepAnalysisAsleepCore,HKCategoryValueSleepAnalysisAsleepDeep,HKCategoryValueSleepAnalysisAsleepREM,HKCategoryValueSleepAnalysisAsleepUnspecified,HKCategoryValueSleepAnalysisAwake,HKCategoryValueSleepAnalysisInBed,total_sleep,total_sleep_minutes
2021-10-21,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-10-22,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-23,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-24,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-10-25,0.0,0.0,0.0,0.0,0.0,7.873055555555555,0.0,0.0
2021-10-26,0.0,0.0,0.0,0.0,0.0,7.925,0.0,0.0
2021-10-27,0.0,0.0,0.0,0.0,0.0,7.325555555555556,0.0,0.0
2021-10-28,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-10-29,0.0,0.0,0.0,0.0,0.0,7.961666666666667,0.0,0.0
2021-10-30,0.0,0.0,0.0,0.0,0.0,6.308333333333334,0.0,0.0
2021-10-31,0.0,0.0,0.0,0.0,0.0,6.9625,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,7.698611111111111,0.0,0.0
2021-11-02,0.0,0.0,0.0,0.0,0.0,6.759166666666666,0.0,0.0
2021-11-03,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-11-04,0.0,0.0,0.0,0.0,0.0,7.581388888888889,0.0,0.0
2021-11-05,0.0,0.0,0.0,0.0,0.0,8.05861111111111,0.0,0.0
2021-11-06,0.0,0.0,0.0,0.0,0.0,8.271666666666667,0.0,0.0
2021-11-07,0.0,0.0,0.0,0.0,0.0,7.249722222222222,0.0,0.0
2021-11-08,0.0,0.0,0.0,0.0,0.0,6.920277777777778,0.0,0.0
2021-11-09,0.0,0.0,0.0,0.0,0.0,8.08388888888889,0.0,0.0
2021-11-10,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-11,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-12,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-13,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-11-14,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0
2021-11-15,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-11-16,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-11-17,0.0,0.0,0.0,0.0,0.0,7.352222222222222,0.0,0.0
2021-11-18,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-11-19,0.0,0.0,0.0,0.0,0.0,7.288611111111111,0.0,0.0
2021-11-20,0.0,0.0,0.0,0.0,0.0,8.0725,0.0,0.0
2021-11-21,0.0,0.0,0.0,0.0,0.0,7.270555555555555,0.0,0.0
2021-11-22,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-23,0.0,0.0,0.0,0.0,0.0,7.345277777777778,0.0,0.0
2021-11-24,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-11-25,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-26,0.0,0.0,0.0,0.0,0.0,7.3005555555555555,0.0,0.0
2021-11-27,0.0,0.0,0.0,0.0,0.0,7.414166666666667,0.0,0.0
2021-11-28,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-29,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-11-30,0.0,0.0,0.0,0.0,0.0,8.08361111111111,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,7.704444444444444,0.0,0.0
2021-12-02,0.0,0.0,0.0,0.0,0.0,7.9825,0.0,0.0
2021-12-03,0.0,0.0,0.0,0.0,0.0,8.083333333333334,0.0,0.0
2021-12-04,0.0,0.0,0.0,0.0,0.0,7.799722222222222,0.0,0.0
2021-12-05,0.0,0.0,0.0,0.0,0.0,6.175,0.0,0.0
